"№","Област","Община","Нас. място","Код","Училище","Код на паралелката","Име","Тип","Профил/специалност","Балообразуване","Код на професията","Наименование на професията","Код на специалност от професия","Степен на професионална квалификация","Защитена професия","Професия с очакван недостиг","Форма на обучение","Срок на обучение","Брой паралелки","Общо основание","Мъже","Жени","Чужд език","Начин на изучаване"
"1","ПЛОВДИВ","АСЕНОВГРАД","ГР.АСЕНОВГРАД","1600617","Професионална гимназия по Хранително-вкусови технологии ""Св. Димитрий Солунски"", ГР.АСЕНОВГРАД","2601","Производство на кулинарни изделия и напитки, АЕ","професионална","Производство на кулинарни изделия и напитки","(3 * БЕЛ + 1 * МАТ) + (1 * ИИ + 1 * ТП)","811070","Готвач","8110701","Втора степен","Не","Да","дневна","5 години","1","26","0","0","Английски език","без инт. и без разширено"
"2","ПЛОВДИВ","АСЕНОВГРАД","ГР.АСЕНОВГРАД","1600617","Професионална гимназия по Хранително-вкусови технологии ""Св. Димитрий Солунски"", ГР.АСЕНОВГРАД","2605","Кетъринг,  АЕ","професионална","Кетъринг","(3 * БЕЛ + 1 * МАТ) + (1 * ИИ + 1 * ТП)","811060","Ресторантьор","8110603","Трета степен","Не","Не","дневна","5 години","1","26","0","0","Английски език","без инт. и без разширено"
"3","ПЛОВДИВ","АСЕНОВГРАД","ГР.АСЕНОВГРАД","1600128","Професионална гимназия  "" Свети Патриарх Евтимий "", ГР.АСЕНОВГРАД","5031","Фризьорство","професионална","Фризьорство","(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ИИ)","815010","Фризьор","8150101","Втора степен","Не","Не","дневна","5 години","1","26","0","0","Английски език","разширено"
"4","ПЛОВДИВ","АСЕНОВГРАД","ГР.АСЕНОВГРАД","1600128","Професионална гимназия  "" Свети Патриарх Евтимий "", ГР.АСЕНОВГРАД","5039","Оператор в шевното производство","професионална","Производство на облекло от текстил","(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ИИ)","542050","Оператор в производството на облекло","5420501","Втора степен","Не","Да","дневна","5 години","1","26","0","0","Английски език","без инт. и без разширено"
"5","ПЛОВДИВ","АСЕНОВГРАД","ГР.АСЕНОВГРАД","1600618","Професионална гимназия ""Цар Иван Асен II"", ГР.АСЕНОВГРАД","2190","Компютърна техника и технологии  АЕ","професионална","Компютърна техника и технологии","(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * КМИТ)","523050","Техник на компютърни системи","5230501","Трета степен","Не","Не","дневна","5 години","1","26","0","0","Английски език","разширено"
"6","ПЛОВДИВ","АСЕНОВГРАД","ГР.АСЕНОВГРАД","1600618","Професионална гимназия ""Цар Иван Асен II"", ГР.АСЕНОВГРАД","2214","Електрообзавеждане на производството АЕ","професионална","Електрообзавеждане на производството","(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * КМИТ)","522010","Електротехник","5220103","Трета степен","Не","Не","дуална","5 години","0.5","13","0","0","Английски език","разширено"
"7","ПЛОВДИВ","АСЕНОВГРАД","ГР.АСЕНОВГРАД","1600618","Професионална гимназия ""Цар Иван Асен II"", ГР.АСЕНОВГРАД","2218","Електрически инсталации АЕ","професионална","Електрически инсталации","(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * КМИТ)","522010","Електротехник","5220109","Трета степен","Не","Не","дневна","5 години","0.5","13","0","0","Английски език","разширено"
"8","ПЛОВДИВ","АСЕНОВГРАД","ГР.АСЕНОВГРАД","1600618","Професионална гимназия ""Цар Иван Асен II"", ГР.АСЕНОВГРАД","2220","Мехатроника АЕ","професионална","Мехатроника","(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * КМИТ)","521140","Мехатроника","5211401","Трета степен","Не","Не","дуална","5 години","0.5","13","0","0","Английски език","разширено"
"9","ПЛОВДИВ","АСЕНОВГРАД","ГР.АСЕНОВГРАД","1600618","Професионална гимназия ""Цар Иван Асен II"", ГР.АСЕНОВГРАД","2224","Металургия на цветните метали АЕ","професионална","Металургия на цветните метали","(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * КМИТ)","521070","Техник - металург","5210702","Трета степен","Да","Не","дневна","5 години","1","26","0","0","Английски език","разширено"
"10","ПЛОВДИВ","АСЕНОВГРАД","ГР.АСЕНОВГРАД","1600618","Професионална гимназия ""Цар Иван Асен II"", ГР.АСЕНОВГРАД","2226","Електронна търговия АЕ","професионална","Електронна търговия","(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * КМИТ)","482040","Организатор Интернет приложения","4820401","Трета степен","Не","Не","дневна","5 години","0.5","13","0","0","Английски език","разширено"
"11","ПЛОВДИВ","АСЕНОВГРАД","ГР.АСЕНОВГРАД","1600114","Средно училище Свети княз Борис I, ГР.АСЕНОВГРАД","3511","Икономическо развитие","профилирана","Икономическо развитие","(3 * БЕЛ + 1 * МАТ) + (1 * ГИ + 1 * ЧЕз)","","","80101","","Не","Не","дневна","5 години","1","26","0","0","Английски език","интензивно"
"12","ПЛОВДИВ","АСЕНОВГРАД","ГР.АСЕНОВГРАД","1600114","Средно училище Свети княз Борис I, ГР.АСЕНОВГРАД","3512","Природни науки","профилирана","Природни науки","(3 * БЕЛ + 1 * МАТ) + (1 * БЗО + 1 * ЧЕз)","","","80131","","Не","Не","дневна","5 години","2","52","0","0","Английски език","интензивно"
"13","ПЛОВДИВ","АСЕНОВГРАД","ГР.АСЕНОВГРАД","1600116","Средно училище  ""Свети свети Кирил и Методий"", ГР.АСЕНОВГРАД","1154","Предприемачески AE","профилирана","Предприемачески","(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * КМИТ)","","","80171","","Не","Не","дневна","5 години","1","26","0","0","Английски език","интензивно"
"14","ПЛОВДИВ","АСЕНОВГРАД","ГР.АСЕНОВГРАД","1600116","Средно училище  ""Свети свети Кирил и Методий"", ГР.АСЕНОВГРАД","1157","Природни науки AE","профилирана","Природни науки","(2 * БЕЛ + 2 * МАТ) + (1 * БЗО + 1 * КМИТ)","","","80131","","Не","Не","дневна","5 години","1","26","0","0","Английски език","интензивно"
"15","ПЛОВДИВ","АСЕНОВГРАД","ГР.АСЕНОВГРАД","1600116","Средно училище  ""Свети свети Кирил и Методий"", ГР.АСЕНОВГРАД","1161","Софтуерни и хардуерни науки AE","профилирана","Софтуерни и хардуерни науки","(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * КМИТ)","","","80111","","Не","Не","дневна","5 години","1","26","0","0","Английски език","интензивно"
"16","ПЛОВДИВ","АСЕНОВГРАД","ГР.АСЕНОВГРАД","1600116","Средно училище  ""Свети свети Кирил и Методий"", ГР.АСЕНОВГРАД","4574","Екскурзовод АЕ","професионална","Екскурзоводско обслужване","(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ЧЕз)","812030","Екскурзовод","8120302","Трета степен","Не","Не","дневна","5 години","1","26","0","0","Английски език","интензивно"
"17","ПЛОВДИВ","БРЕЗОВО","ГР.БРЕЗОВО","1600706","Професионална гимназия ""Златю Бояджиев"" гр. Брезово, ГР.БРЕЗОВО","1297","Механизация на селското стопанство, английски език","професионална","Механизация на селското стопанство","(2 * БЕЛ + 2 * МАТ) + (1 * М + 1 * ФА)","621070","Техник на селскостопанска техника","6210701","Трета степен","Не","Не","дневна","5 години","0.5","13","0","0","Английски език","без инт. и без разширено"
"18","ПЛОВДИВ","БРЕЗОВО","ГР.БРЕЗОВО","1600706","Професионална гимназия ""Златю Бояджиев"" гр. Брезово, ГР.БРЕЗОВО","1304","Производство и обслужване в заведенията за хранене и развлечения, английски език","професионална","Производство и обслужване в заведенията за хранене и развлечения","(2 * БЕЛ + 2 * МАТ) + (1 * БЗО + 1 * ХООС)","811060","Ресторантьор","8110602","Трета степен","Не","Да","дневна","5 години","0.5","13","0","0","Английски език","без инт. и без разширено"
"19","ПЛОВДИВ","БРЕЗОВО","ГР.БРЕЗОВО","1600705","Средно училище ""Христо Смирненски"", ГР.БРЕЗОВО","3875","Аниматор в туризма","професионална","Туристическа анимация","(3 * БЕЛ + 1 * МАТ) + (1 * ИЦ + 1 * ГИ)","812040","Аниматор в туризма","8120402","Трета степен","Не","Не","дневна","5 години","1","26","0","0","Английски език","разширено"
"20","ПЛОВДИВ","КАЛОЯНОВО","С.ДЪЛГО ПОЛЕ","1601203","Обединено училище ""Христо Ботев"", С.ДЪЛГО ПОЛЕ","1902","Стругарство","професионална","Стругарство","(2 * БЕЛ + 2 * МАТ) + (1 * ФА + 1 * ТП)","521100","Стругар","5211001","Първа степен","Да","Не","дневна","3 години","0.5","13","0","0","Английски език","без инт. и без разширено"
"21","ПЛОВДИВ","КАЛОЯНОВО","С.ДЪЛГО ПОЛЕ","1601203","Обединено училище ""Христо Ботев"", С.ДЪЛГО ПОЛЕ","2199","Деловодство и архив","професионална","Деловодство и архив","(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * КМИТ)","346030","Деловодител","3460301","Първа степен","Не","Не","дневна","3 години","0.5","13","0","0","Английски език","без инт. и без разширено"
"22","ПЛОВДИВ","КАРЛОВО","ГР.КАРЛОВО","1601364","Професионална гимназия  ""Братя Евлогий и Христо Георгиеви"", ГР.КАРЛОВО","1146","Електрообзавеждане на транспортна техника -  АЕ","професионална","Електрообзавеждане на транспортна техника","(2 * БЕЛ + 2 * МАТ) + (1 * КМИТ + 1 * ТП)","522020","Електромонтьор","5220207","Втора степен","Не","Да","дневна","5 години","0.5","13","0","0","Английски език","без инт. и без разширено"
"23","ПЛОВДИВ","КАРЛОВО","ГР.КАРЛОВО","1601364","Професионална гимназия  ""Братя Евлогий и Христо Георгиеви"", ГР.КАРЛОВО","2314","Екскурзоводско обслужване - АЕ","професионална","Екскурзоводско обслужване","(2 * БЕЛ + 2 * МАТ) + (1 * КМИТ + 1 * ТП)","812030","Екскурзовод","8120302","Трета степен","Не","Не","дневна","5 години","0.5","13","0","0","Английски език","без инт. и без разширено"
"24","ПЛОВДИВ","КАРЛОВО","ГР.КАРЛОВО","1601364","Професионална гимназия  ""Братя Евлогий и Христо Георгиеви"", ГР.КАРЛОВО","2317","Автотранспортна техника - АЕ","професионална","Автотранспортна техника","(2 * БЕЛ + 2 * МАТ) + (1 * КМИТ + 1 * ТП)","525010","Техник по транспортна техника","5250101","Трета степен","Не","Да","дневна","5 години","1","26","0","0","Английски език","без инт. и без разширено"
"25","ПЛОВДИВ","КАРЛОВО","ГР.КАРЛОВО","1601361","Професионална гимназия по  железопътен транспорт ""Христо Смирненски"", ГР.КАРЛОВО","970","Осигурителни и комуникационни системи - техник, АЕ","професионална","Осигурителни и комуникационни системи в ж.п.инфраструктура","(2 * БЕЛ + 2 * МАТ) + (1 * КМИТ + 1 * ТП)","523070","Техник по автоматизация","5230704","Трета степен","Да","Не","дневна","5 години","1","26","0","0","Английски език","разширено"
"26","ПЛОВДИВ","КАРЛОВО","ГР.КАРЛОВО","1601361","Професионална гимназия по  железопътен транспорт ""Христо Смирненски"", ГР.КАРЛОВО","995","Автотранспортна техника - техник","професионална","Автотранспортна техника","(2 * БЕЛ + 2 * МАТ) + (1 * КМИТ + 1 * ТП)","525010","Техник по транспортна техника","5250101","Трета степен","Не","Да","дневна","5 години","1","26","0","0","Английски език","без инт. и без разширено"
"27","ПЛОВДИВ","КАРЛОВО","ГР.КАРЛОВО","1601301","Средно училище  ""Васил Левски"", ГР.КАРЛОВО","2863","Природни науки (АЕ)","профилирана","Природни науки","(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)","","","80131","","Не","Не","дневна","5 години","1","26","0","0","Английски език","интензивно"
"28","ПЛОВДИВ","КАРЛОВО","ГР.КАРЛОВО","1601301","Средно училище  ""Васил Левски"", ГР.КАРЛОВО","2864","Софтуерни и хардуерни науки (АЕ)","профилирана","Софтуерни и хардуерни науки","(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)","","","80111","","Не","Не","дневна","5 години","1","26","0","0","Английски език","интензивно"
"29","ПЛОВДИВ","КАРЛОВО","ГР.КАРЛОВО","1601301","Средно училище  ""Васил Левски"", ГР.КАРЛОВО","3526","Икономическо развитие (АЕ)","профилирана","Икономическо развитие","(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)","","","80101","","Не","Не","дневна","5 години","1","26","0","0","Английски език","интензивно"
"30","ПЛОВДИВ","КАРЛОВО","ГР.КАРЛОВО","1601302","Средно училище ""Христо Проданов"", ГР.КАРЛОВО","453","Софтуерни и хардуерни науки","профилирана","Софтуерни и хардуерни науки","(2 * БЕЛ + 2 * МАТ) + (1 * КМИТ + 1 * ЧЕз)","","","80111","","Не","Не","дневна","5 години","1","26","0","0","Английски език","разширено"
"31","ПЛОВДИВ","КАРЛОВО","ГР.КАРЛОВО","1601302","Средно училище ""Христо Проданов"", ГР.КАРЛОВО","3565","Програмиране на изкуствен интелект","професионална","Програмиране на изкуствен интелект","(2 * БЕЛ + 2 * МАТ) + (1 * КМИТ + 1 * ЧЕз)","481040","Програмист на изкуствен интелект","4810401","Трета степен","Не","Не","дневна","5 години","1","26","0","0","Английски език","интензивно"
"32","ПЛОВДИВ","КАРЛОВО","ГР.КАРЛОВО","1601302","Средно училище ""Христо Проданов"", ГР.КАРЛОВО","3567","Обществени науки","профилирана","Обществени науки","(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ЧЕз)","","","80091","","Не","Не","дневна","5 години","1","26","0","0","Испански език","интензивно"
"33","ПЛОВДИВ","КАРЛОВО","ГР.КЛИСУРА","1600623","Професионална гимназия по икономика ""Тодор Генчов Влайков"", ГР.КЛИСУРА","1256","Икономика и мениджмънт","професионална","Икономика и мениджмънт","(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * ГИ)","345120","Икономист","3451204","Трета степен","Не","Не","дневна","5 години","0.5","13","0","0","Френски език","без инт. и без разширено"
"34","ПЛОВДИВ","КАРЛОВО","ГР.КЛИСУРА","1600623","Професионална гимназия по икономика ""Тодор Генчов Влайков"", ГР.КЛИСУРА","1258","Горско стопанство и дърводобив","професионална","Горско стопанство и дърводобив","(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * БЗО)","623010","Техник- лесовъд","6230102","Трета степен","Не","Не","дневна","5 години","0.5","13","0","0","Френски език","без инт. и без разширено"
"35","ПЛОВДИВ","КРИЧИМ","ГР.КРИЧИМ","1601403","Средно училище ""Петко Рачов Славейков"", ГР.КРИЧИМ","514","Икономическа информатика","професионална","Икономическа информатика","(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * КМИТ)","482010","Икономист - информатик","4820101","Трета степен","Не","Не","дневна","5 години","1","26","0","0","Английски език","без инт. и без разширено"
"36","ПЛОВДИВ","КУКЛЕН","С.КУКЛЕН","1601102","Професионална гимназия  по селско стопанство, С.КУКЛЕН","2606","Механизация на селското стопанство Техник на селскостопанска техника","професионална","Механизация на селското стопанство","(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * ФА)","621070","Техник на селскостопанска техника","6210701","Трета степен","Не","Не","дневна","5 години","1","26","0","0","Английски език","без инт. и без разширено"
"37","ПЛОВДИВ","КУКЛЕН","С.КУКЛЕН","1601101","Средно училище ""Отец Паисий"", С.КУКЛЕН","5124","Природни науки","профилирана","Природни науки","(2 * БЕЛ + 2 * МАТ) + (1 * БЗО + 1 * ХООС)","","","80131","","Не","Не","дневна","5 години","1","26","0","0","Английски език","без инт. и без разширено"
"38","ПЛОВДИВ","ЛЪКИ","ГР.ЛЪКИ","1601501","Средно училище  ""Христо Ботев"", ГР.ЛЪКИ","3591","Природни науки","профилирана","Природни науки","(3 * БЕЛ + 1 * МАТ) + (1 * БЗО + 1 * ЧЕз)","","","80131","","Не","Не","дневна","5 години","1","26","0","0","Английски език","разширено"
"39","ПЛОВДИВ","МАРИЦА","С.БЕНКОВСКИ","1601704","Средно училище ""Георги Бенковски"", С.БЕНКОВСКИ","5086","Мехатроника","професионална","Мехатроника","(2 * БЕЛ + 2 * МАТ) + (1 * ФА + 1 * КМИТ)","521140","Мехатроника","5211401","Трета степен","Не","Не","дневна","5 години","1","26","0","0","Английски език","без инт. и без разширено"
"40","ПЛОВДИВ","МАРИЦА","С.КАЛЕКОВЕЦ","1601709","Средно училище  ""Свети свети Кирил и Методий"", С.КАЛЕКОВЕЦ","2280","Металообработващи машини - дневна форма на обучение 5 г.","професионална","Металообработващи машини","(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)","521040","Машинен монтьор","5210414","Втора степен","Не","Да","дневна","5 години","1","26","0","0","Немски език","без инт. и без разширено"
"41","ПЛОВДИВ","МАРИЦА","С.МАНОЛЕ","1601708","Средно училище ""Васил Левски"", С.МАНОЛЕ","5025","Електронна търговия","професионална","Електронна търговия","(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * КМИТ)","482040","Организатор Интернет приложения","4820401","Трета степен","Не","Не","дневна","5 години","1","26","0","0","Английски език","без инт. и без разширено"
"42","ПЛОВДИВ","ПЕРУЩИЦА","ГР.ПЕРУЩИЦА","1602402","Професионална гимназия  по лозарство и винарство  ""Христо Ботев"", ГР.ПЕРУЩИЦА","5027","Лозаровинар","професионална","Лозаровинарство","(3 * БЕЛ + 1 * МАТ) + (1 * БЗО + 1 * ХООС)","621090","Лозаровинар","6210901","Втора степен","Не","Не","дневна","5 години","0.5","13","0","0","Английски език","без инт. и без разширено"
"43","ПЛОВДИВ","ПЕРУЩИЦА","ГР.ПЕРУЩИЦА","1602402","Професионална гимназия  по лозарство и винарство  ""Христо Ботев"", ГР.ПЕРУЩИЦА","5028","Монтьор на селскостопанска техника","професионална","Механизация на селското стопанство","(3 * БЕЛ + 1 * МАТ) + (1 * М + 1 * ФА)","621080","Монтьор на селскостопанска техника","6210801","Втора степен","Не","Не","дневна","5 години","0.5","13","0","0","Английски език","без инт. и без разширено"
"44","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690450","Езикова гимназия ""Иван Вазов"", ГР.ПЛОВДИВ","5032","Чужди езици /АЕ/","профилирана","Чужди езици","(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)","","","80071","","Не","Не","дневна","5 години","2","0","26","26","Английски език","интензивно"
"45","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690450","Езикова гимназия ""Иван Вазов"", ГР.ПЛОВДИВ","5035","Чужди езици /НЕ/","профилирана","Чужди езици","(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)","","","80071","","Не","Не","дневна","5 години","2","0","26","26","Немски език","интензивно"
"46","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690450","Езикова гимназия ""Иван Вазов"", ГР.ПЛОВДИВ","5036","Чужди езици /Исп.Е/","профилирана","Чужди езици","(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)","","","80071","","Не","Не","дневна","5 години","2","0","26","26","Испански език","интензивно"
"47","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690450","Езикова гимназия ""Иван Вазов"", ГР.ПЛОВДИВ","5037","Чужди езици /Италиански език/","профилирана","Чужди езици","(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)","","","80071","","Не","Не","дневна","5 години","2","0","26","26","Италиански език","интензивно"
"48","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690450","Езикова гимназия ""Иван Вазов"", ГР.ПЛОВДИВ","5040","Чужди езици /ФЕ/","профилирана","Чужди езици","(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)","","","80071","","Не","Не","дневна","5 години","1","0","13","13","Френски език","интензивно"
"49","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690449","Езикова гимназия ""Пловдив"", ГР.ПЛОВДИВ","5024","Чужди езици АЕ","профилирана","Чужди езици","(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)","","","80071","","Не","Не","дневна","5 години","6","0","78","78","Английски език","интензивно"
"50","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690449","Езикова гимназия ""Пловдив"", ГР.ПЛОВДИВ","5026","Чужди езици НЕ","профилирана","Чужди езици","(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)","","","80071","","Не","Не","дневна","5 години","4","0","52","52","Немски език","интензивно"
"51","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690346","Математическа гимназия  ""Академик Кирил Попов"", ГР.ПЛОВДИВ","2793","Математически АЕ","профилирана","Математически","(1 * БЕЛ + 3 * МАТ) + (1 * БЕЛ + 1 * М)","","","80121","","Не","Не","дневна","5 години","4","0","52","52","Английски език","интензивно"
"52","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690346","Математическа гимназия  ""Академик Кирил Попов"", ГР.ПЛОВДИВ","2812","Математически НЕ","профилирана","Математически","(1 * БЕЛ + 3 * МАТ) + (1 * БЕЛ + 1 * М)","","","80121","","Не","Не","дневна","5 години","1","0","13","13","Немски език","интензивно"
"53","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690346","Математическа гимназия  ""Академик Кирил Попов"", ГР.ПЛОВДИВ","2868","Системно програмиране AE,  Системен програмист","професионална","Системно програмиране","(1 * БЕЛ + 3 * МАТ) + (1 * БЕЛ + 1 * М)","481020","Системен програмист","4810201","Трета степен","Не","Не","дневна","5 години","2","52","0","0","Английски език","разширено"
"54","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690346","Математическа гимназия  ""Академик Кирил Попов"", ГР.ПЛОВДИВ","2869","Компютърна графика AE, Компютърен график","професионална","Компютърна графика","(1 * БЕЛ + 3 * МАТ) + (1 * БЕЛ + 1 * М)","213060","Компютърен график","2130601","Трета степен","Не","Не","дневна","5 години","1","26","0","0","Английски език","разширено"
"55","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690175","Национална търговска гимназия - Пловдив, ГР.ПЛОВДИВ","1371","Банково дело, английски език","професионална","Банково дело","(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)","343010","Финансист","3430101","Трета степен","Не","Не","дневна","5 години","1","26","0","0","Английски език","разширено"
