"№","Област","Община","Нас. място","Код","Училище","Код на паралелката","Име","Тип","Профил/специалност","Балообразуване","Код на професията","Наименование на професията","Код на специалност от професия","Степен на професионална квалификация","Защитена професия","Професия с очакван недостиг","Форма на обучение","Срок на обучение","Брой паралелки","Общо основание","Мъже","Жени","Чужд език","Начин на изучаване"
"56","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690175","Национална търговска гимназия - Пловдив, ГР.ПЛОВДИВ","1377","Митническа и данъчна администрация, английски език","професионална","Митническа и данъчна администрация","(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)","344020","Данъчен и митнически посредник","3440201","Трета степен","Не","Не","дневна","5 години","1","26","0","0","Английски език","разширено"
"57","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690175","Национална търговска гимназия - Пловдив, ГР.ПЛОВДИВ","1380","Оперативно счетоводство, английски език","професионална","Оперативно счетоводство","(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)","344030","Оперативен счетоводител","3440301","Трета степен","Не","Не","дневна","5 години","1","26","0","0","Английски език","разширено"
"58","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690175","Национална търговска гимназия - Пловдив, ГР.ПЛОВДИВ","1387","Икономическа информатика, английски език","професионална","Икономическа информатика","(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)","482010","Икономист - информатик","4820101","Трета степен","Не","Не","дневна","5 години","1","26","0","0","Английски език","разширено"
"59","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690175","Национална търговска гимназия - Пловдив, ГР.ПЛОВДИВ","1388","Икономика и мениджмънт, немски език","професионална","Икономика и мениджмънт","(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)","345120","Икономист","3451204","Трета степен","Не","Не","дневна","5 години","1","26","0","0","Немски език","разширено"
"60","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690175","Национална търговска гимназия - Пловдив, ГР.ПЛОВДИВ","3352","Търговия, испански език","професионална","Търговия","(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)","345120","Икономист","3451202","Трета степен","Не","Не","дневна","5 години","1","26","0","0","Испански език","разширено"
"61","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690175","Национална търговска гимназия - Пловдив, ГР.ПЛОВДИВ","3353","Бизнес - администрация, английски език","професионална","Бизнес - администрация","(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)","346010","Офис - мениджър","3460101","Трета степен","Не","Не","дневна","5 години","1","26","0","0","Английски език","разширено"
"62","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690175","Национална търговска гимназия - Пловдив, ГР.ПЛОВДИВ","3854","Електронна търговия, английски език","професионална","Електронна търговия","(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)","482040","Организатор Интернет приложения","4820401","Трета степен","Не","Не","дневна","5 години","1","26","0","0","Английски език","разширено"
"63","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690443","Обединено училище ""Йордан Йовков"", ГР.ПЛОВДИВ","5097","работник в заведения за хранене и развлечения 3г.","професионална","Работник в обслужване на заведения за хранене и развлечения","(2 * БЕЛ + 2 * МАТ) + (1 * БЗО + 1 * ТП)","811090","Работник в заведенията за хранене и развлечения","8110902","Първа степен","Не","Не","дневна","3 години","1","26","0","0","Английски език","без инт. и без разширено"
"64","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690246","Обединено училище ""Пенчо Славейков"", ГР.ПЛОВДИВ","3041","Шивачество","професионална","Шивачество","(2 * БЕЛ + 2 * МАТ) + (1 * ИИ + 1 * ТП)","542110","Шивач","5421101","Първа степен","Не","Не","дневна","3 години","1","26","0","0","Английски език","без инт. и без разширено"
"65","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690246","Обединено училище ""Пенчо Славейков"", ГР.ПЛОВДИВ","3042","Производство на мебели","професионална","Производство на мебели","(2 * БЕЛ + 2 * МАТ) + (1 * ИИ + 1 * ТП)","543090","Работник в дървообработването","5430906","Първа степен","Не","Не","дневна","3 години","0.5","13","0","0","Английски език","без инт. и без разширено"
"66","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690246","Обединено училище ""Пенчо Славейков"", ГР.ПЛОВДИВ","4259","Шлосерство","професионална","Шлосерство","(2 * БЕЛ + 2 * МАТ) + (1 * ИИ + 1 * ТП)","521110","Шлосер","5211101","Първа степен","Не","Не","дневна","3 години","0.5","13","0","0","Английски език","без инт. и без разширено"
"67","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690272","Професионална гимназия по архитектура  строителство и геодезия ""Арх.Камен Петков"", ГР.ПЛОВДИВ","5046","Строителство и архитектура АЕ","професионална","Строителство и архитектура","(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * ФА)","582010","Строителен техник","5820101","Трета степен","Не","Да","дневна","5 години","1","26","0","0","Английски език","разширено"
"68","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690272","Професионална гимназия по архитектура  строителство и геодезия ""Арх.Камен Петков"", ГР.ПЛОВДИВ","5049","Строителство и архитектура НЕ","професионална","Строителство и архитектура","(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * ФА)","582010","Строителен техник","5820101","Трета степен","Не","Да","дневна","5 години","1","26","0","0","Немски език","разширено"
"69","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690272","Професионална гимназия по архитектура  строителство и геодезия ""Арх.Камен Петков"", ГР.ПЛОВДИВ","5050","Водно строителство АЕ","професионална","Водно строителство","(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * ФА)","582010","Строителен техник","5820103","Трета степен","Не","Да","дневна","5 години","1","26","0","0","Английски език","разширено"
"70","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690272","Професионална гимназия по архитектура  строителство и геодезия ""Арх.Камен Петков"", ГР.ПЛОВДИВ","5051","Геодезия АЕ","професионална","Геодезия","(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * ФА)","581010","Геодезист","5810101","Трета степен","Не","Не","дневна","5 години","1","26","0","0","Английски език","разширено"
"71","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690272","Професионална гимназия по архитектура  строителство и геодезия ""Арх.Камен Петков"", ГР.ПЛОВДИВ","5053","Транспортно строителство АЕ","професионална","Транспортно строителство","(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * ФА)","582010","Строителен техник","5820104","Трета степен","Не","Да","дневна","5 години","1","26","0","0","Английски език","разширено"
"72","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690272","Професионална гимназия по архитектура  строителство и геодезия ""Арх.Камен Петков"", ГР.ПЛОВДИВ","5054","Парково строителство и озеленяване АЕ","професионална","Парково строителство и озеленяване","(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * БЗО)","622010","Техник – озеленител","6220102","Трета степен","Не","Не","дневна","5 години","1","26","0","0","Английски език","разширено"
"73","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690272","Професионална гимназия по архитектура  строителство и геодезия ""Арх.Камен Петков"", ГР.ПЛОВДИВ","5055","Архитектурна реставрация АЕ","професионална","Архитектурна реставрация","(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * ФА)","581030","Техник-реставратор","5810301","Трета степен","Не","Не","дневна","5 години","1","26","0","0","Английски език","разширено"
"74","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690272","Професионална гимназия по архитектура  строителство и геодезия ""Арх.Камен Петков"", ГР.ПЛОВДИВ","5056","Недвижими имоти АЕ","професионална","Недвижими имоти","(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * ГИ)","341030","Брокер","3410301","Трета степен","Не","Не","дневна","5 години","1","26","0","0","Английски език","разширено"
"75","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690179","Професионална гимназия по битова техника, ГР.ПЛОВДИВ","425","Компютърни мрежи АЕ","професионална","Компютърни мрежи","(2 * БЕЛ + 2 * МАТ) + (1 * КМИТ + 1 * ЧЕз)","523050","Техник на компютърни системи","5230502","Трета степен","Не","Не","дневна","5 години","1","26","0","0","Английски език","разширено"
"76","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690179","Професионална гимназия по битова техника, ГР.ПЛОВДИВ","426","Компютърна техника и технологии АЕ","професионална","Компютърна техника и технологии","(2 * БЕЛ + 2 * МАТ) + (1 * КМИТ + 1 * ЧЕз)","523050","Техник на компютърни системи","5230501","Трета степен","Не","Не","дневна","5 години","1","26","0","0","Английски език","разширено"
"77","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690179","Професионална гимназия по битова техника, ГР.ПЛОВДИВ","427","Оптически комуникационни системи АЕ","професионална","Оптически комуникационни системи","(2 * БЕЛ + 2 * МАТ) + (1 * КМИТ + 1 * ЧЕз)","523010","Техник по комуникационни системи","5230105","Трета степен","Не","Не","дневна","5 години","1","26","0","0","Английски език","разширено"
"78","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690179","Професионална гимназия по битова техника, ГР.ПЛОВДИВ","428","Електрически инсталации АЕ","професионална","Електрически инсталации","(2 * БЕЛ + 2 * МАТ) + (1 * КМИТ + 1 * ЧЕз)","522010","Електротехник","5220109","Трета степен","Не","Не","дневна","5 години","1","26","0","0","Английски език","разширено"
"79","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690179","Професионална гимназия по битова техника, ГР.ПЛОВДИВ","429","Електрообзавеждане на подемна и асансьорна техника АЕ","професионална","Електрообзавеждане на подемна и асансьорна техника","(2 * БЕЛ + 2 * МАТ) + (1 * КМИТ + 1 * ЧЕз)","522010","Електротехник","5220108","Трета степен","Не","Не","дневна","5 години","1","26","0","0","Английски език","разширено"
"80","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690177","Професионална гимназия по  вътрешна архитектура и дървообработване ""Христо Ботев"", ГР.ПЛОВДИВ","294","Интериорен дизайн - разширено изучаване на АЕ","професионална","Интериорен дизайн","(2 * БЕЛ + 2 * МАТ) + (1 * ИИ + 1 * КМИТ)","214010","Дизайнер","2140106","Трета степен","Не","Не","дневна","5 години","1","26","0","0","Английски език","разширено"
"81","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690177","Професионална гимназия по  вътрешна архитектура и дървообработване ""Христо Ботев"", ГР.ПЛОВДИВ","310","Мебелно производство, дуална форма на обучение","професионална","Мебелно производство","(2 * БЕЛ + 2 * МАТ) + (1 * ИИ + 1 * КМИТ)","543010","Техник - технолог в дървообработването","5430101","Трета степен","Не","Да","дуална","5 години","0.5","13","0","0","Английски език","без инт. и без разширено"
"82","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690177","Професионална гимназия по  вътрешна архитектура и дървообработване ""Христо Ботев"", ГР.ПЛОВДИВ","313","Полиграфия - разширено изучаване на АЕ","професионална","Полиграфия","(2 * БЕЛ + 2 * МАТ) + (1 * ИИ + 1 * КМИТ)","213030","Полиграфист","2130301","Трета степен","Не","Да","дневна","5 години","0.5","13","0","0","Английски език","разширено"
"83","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690177","Професионална гимназия по  вътрешна архитектура и дървообработване ""Христо Ботев"", ГР.ПЛОВДИВ","318","Реставрация на стилни мебели и дограма","професионална","Реставрация на стилни мебели и дограма","(2 * БЕЛ + 2 * МАТ) + (1 * ИИ + 1 * КМИТ)","543010","Техник - технолог в дървообработването","5430104","Трета степен","Не","Не","дневна","5 години","0.5","13","0","0","Английски език","без инт. и без разширено"
"84","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690177","Професионална гимназия по  вътрешна архитектура и дървообработване ""Христо Ботев"", ГР.ПЛОВДИВ","4225","Мебелно производство","професионална","Мебелно производство","(2 * БЕЛ + 2 * МАТ) + (1 * ИИ + 1 * КМИТ)","543010","Техник - технолог в дървообработването","5430101","Трета степен","Не","Да","дневна","5 години","0.5","13","0","0","Английски език","без инт. и без разширено"
"85","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690177","Професионална гимназия по  вътрешна архитектура и дървообработване ""Христо Ботев"", ГР.ПЛОВДИВ","4227","Производство на тапицирани изделия, дуална форма на обучение","професионална","Производство на тапицирани изделия","(2 * БЕЛ + 2 * МАТ) + (1 * ИИ + 1 * КМИТ)","543020","Оператор в дървообработването","5430203","Втора степен","Не","Да","дуална","5 години","0.5","13","0","0","Английски език","без инт. и без разширено"
"86","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690177","Професионална гимназия по  вътрешна архитектура и дървообработване ""Христо Ботев"", ГР.ПЛОВДИВ","4628","Полиграфия, дуална форма на обучение - разширено изучаване на АЕ","професионална","Полиграфия","(2 * БЕЛ + 2 * МАТ) + (1 * ИИ + 1 * КМИТ)","213030","Полиграфист","2130301","Трета степен","Не","Да","дуална","5 години","0.5","13","0","0","Английски език","разширено"
"87","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690174","Професионална гимназия по  електротехника и електроника, ГР.ПЛОВДИВ","1877","Приложно програмиране с английски език","професионална","Приложно програмиране","(2 * БЕЛ + 2 * МАТ) + (1 * М + 1 * ФА)","481030","Приложен програмист","4810301","Трета степен","Не","Не","дневна","5 години","2","52","0","0","Английски език","разширено"
"88","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690174","Професионална гимназия по  електротехника и електроника, ГР.ПЛОВДИВ","1897","Компютърна техника и технологии с английски език","професионална","Компютърна техника и технологии","(2 * БЕЛ + 2 * МАТ) + (1 * М + 1 * ФА)","523050","Техник на компютърни системи","5230501","Трета степен","Не","Не","дневна","5 години","1","26","0","0","Английски език","разширено"
"89","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690174","Професионална гимназия по  електротехника и електроника, ГР.ПЛОВДИВ","1898","Компютърни мрежи с английски език","професионална","Компютърни мрежи","(2 * БЕЛ + 2 * МАТ) + (1 * М + 1 * ФА)","523050","Техник на компютърни системи","5230502","Трета степен","Не","Не","дневна","5 години","1","26","0","0","Английски език","разширено"
"90","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690174","Професионална гимназия по  електротехника и електроника, ГР.ПЛОВДИВ","1905","Микропроцесорна техника с английски език","професионална","Микропроцесорна техника","(2 * БЕЛ + 2 * МАТ) + (1 * М + 1 * ФА)","523030","Техник на електронна техника","5230302","Трета степен","Не","Не","дневна","5 години","1","26","0","0","Английски език","разширено"
"91","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690174","Професионална гимназия по  електротехника и електроника, ГР.ПЛОВДИВ","1941","Автоматизация на непрекъснати производства - дуална, с английски език","професионална","Автоматизация на непрекъснати производства","(2 * БЕЛ + 2 * МАТ) + (1 * М + 1 * ФА)","523070","Техник по автоматизация","5230701","Трета степен","Не","Не","дуална","5 години","1","26","0","0","Английски език","разширено"
"92","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690174","Професионална гимназия по  електротехника и електроника, ГР.ПЛОВДИВ","1948","Електрообзавеждане на производството с английски език","професионална","Електрообзавеждане на производството","(2 * БЕЛ + 2 * МАТ) + (1 * М + 1 * ФА)","522010","Електротехник","5220103","Трета степен","Не","Не","дневна","5 години","1","26","0","0","Английски език","разширено"
"93","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690174","Професионална гимназия по  електротехника и електроника, ГР.ПЛОВДИВ","2051","Микропроцесорна техника - дуална,  с английски език","професионална","Микропроцесорна техника","(2 * БЕЛ + 2 * МАТ) + (1 * М + 1 * ФА)","523030","Техник на електронна техника","5230302","Трета степен","Не","Не","дуална","5 години","1","26","0","0","Английски език","разширено"
"94","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690473","Професионална гимназия  по кожени изделия и текстил ""Д-р Иван Богоров"", ГР.ПЛОВДИВ","1261","Фризьорство","професионална","Фризьорство","(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * М)","815010","Фризьор","8150101","Втора степен","Не","Не","дневна","5 години","1","26","0","0","Английски език","без инт. и без разширено"
"95","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690473","Професионална гимназия  по кожени изделия и текстил ""Д-р Иван Богоров"", ГР.ПЛОВДИВ","1270","Производство на облекло от текстил","професионална","Производство на облекло от текстил","(3 * БЕЛ + 1 * МАТ) + (1 * ИИ + 1 * ТП)","542050","Оператор в производството на облекло","5420501","Втора степен","Не","Да","дневна","5 години","0.5","13","0","0","Английски език","без инт. и без разширено"
"96","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690473","Професионална гимназия  по кожени изделия и текстил ""Д-р Иван Богоров"", ГР.ПЛОВДИВ","1280","Конструиране, моделиране и технология на кожено-галантерийни изделия","професионална","Конструиране, моделиране и технология на кожено - галантерийни изделия","(3 * БЕЛ + 1 * МАТ) + (1 * ХООС + 1 * ИИ)","542060","Моделиер - технолог на обувни и кожено - галантерийни изделия","5420602","Трета степен","Да","Не","дневна","5 години","0.5","13","0","0","Английски език","без инт. и без разширено"
"97","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690473","Професионална гимназия  по кожени изделия и текстил ""Д-р Иван Богоров"", ГР.ПЛОВДИВ","4511","Художествена тъкан","професионална","Художествена тъкан","(3 * БЕЛ + 1 * МАТ) + (1 * ИИ + 1 * ТП)","215070","Художник - приложни изкуства","2150703","Трета степен","Да","Не","дневна","5 години","0.5","13","0","0","Английски език","без инт. и без разширено"
"98","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690473","Професионална гимназия  по кожени изделия и текстил ""Д-р Иван Богоров"", ГР.ПЛОВДИВ","4956","Конструиране, моделиране и технология на обувни изделия","професионална","Конструиране, моделиране и технология на обувни изделия","(3 * БЕЛ + 1 * МАТ) + (1 * ХООС + 1 * ИИ)","542060","Моделиер - технолог на обувни и кожено - галантерийни изделия","5420601","Трета степен","Да","Не","дневна","5 години","0.5","13","0","0","Английски език","без инт. и без разширено"
"99","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690573","Професионална гимназия по машиностроене, ГР.ПЛОВДИВ","2809","Подемно - транспортна техника монтирана на ПТС","професионална","Подемно - транспортна техника, монтирана на пътни транспортни средства","(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * ФА)","525050","Техник по подемно - транспортна техника","5250501","Трета степен","Не","Да","дуална","5 години","0.5","13","0","0","Английски език","без инт. и без разширено"
"100","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690573","Професионална гимназия по машиностроене, ГР.ПЛОВДИВ","3272","Електрически превозни средства","професионална","Електрически превозни средства","(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * ФА)","525010","Техник по транспортна техника","5250104","Трета степен","Не","Да","дуална","5 години","0.5","13","0","0","Английски език","без инт. и без разширено"
"101","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690573","Професионална гимназия по машиностроене, ГР.ПЛОВДИВ","4352","Технология на машиностроенето","професионална","Технология на машиностроенето","(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * ФА)","521010","Машинен техник","5210117","Трета степен","Не","Не","дуална","5 години","0.5","13","0","0","Английски език","без инт. и без разширено"
"102","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690573","Професионална гимназия по машиностроене, ГР.ПЛОВДИВ","5010","Пътно - строителна техника","професионална","Пътно - строителна техника","(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * ФА)","525010","Техник по транспортна техника","5250102","Трета степен","Не","Да","дуална","5 години","0.5","13","0","0","Английски език","без инт. и без разширено"
"103","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690572","Професионална гимназия по механотехника  ""Професор Цветан Лазаров"", ГР.ПЛОВДИВ","2697","Програмно осигуряване","професионална","Програмно осигуряване","(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)","481010","Програмист","4810101","Втора степен","Не","Да","дневна","5 години","1","26","0","0","Английски език","разширено"
"104","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690572","Професионална гимназия по механотехника  ""Професор Цветан Лазаров"", ГР.ПЛОВДИВ","2700","Приложно програмиране","професионална","Приложно програмиране","(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)","481030","Приложен програмист","4810301","Трета степен","Не","Не","дневна","5 години","1","26","0","0","Английски език","разширено"
"105","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690572","Професионална гимназия по механотехника  ""Професор Цветан Лазаров"", ГР.ПЛОВДИВ","2701","Машини и системи с ЦПУ","професионална","Машини и системи с ЦПУ","(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)","521010","Машинен техник","5210105","Трета степен","Не","Да","дуална","5 години","1","26","0","0","Английски език","без инт. и без разширено"
