"№","Област","Община","Нас. място","Код","Училище","Код на паралелката","Име","Тип","Профил/специалност","Балообразуване","Код на професията","Наименование на професията","Код на специалност от професия","Степен на професионална квалификация","Защитена професия","Професия с очакван недостиг","Форма на обучение","Срок на обучение","Брой паралелки","Общо основание","Мъже","Жени","Чужд език","Начин на изучаване"
"159","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690643","Средно училище  ""Свети Седмочисленици"", ГР.ПЛОВДИВ","5064","Икономическа информатика, Английски език","професионална","Икономическа информатика","(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * ЧЕз)","482010","Икономист - информатик","4820101","Трета степен","Не","Не","дневна","5 години","1","26","0","0","Английски език","разширено"
"160","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690644","Средно училище ""Свети Софроний Врачански"", ГР.ПЛОВДИВ","3518","Електронна търговия - АЕ","професионална","Електронна търговия","(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * КМИТ)","482040","Организатор Интернет приложения","4820401","Трета степен","Не","Не","дневна","5 години","1","26","0","0","Английски език","разширено"
"161","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690644","Средно училище ""Свети Софроний Врачански"", ГР.ПЛОВДИВ","4813","Програмиране на изкуствен интелект - АЕ","професионална","Програмиране на изкуствен интелект","(2 * БЕЛ + 2 * МАТ) + (1 * М + 1 * КМИТ)","481040","Програмист на изкуствен интелект","4810401","Трета степен","Не","Не","дневна","5 години","1","26","0","0","Английски език","разширено"
"162","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690154","Средно училище  "" СВ. ПАИСИЙ ХИЛЕНДАРСКИ "", ГР.ПЛОВДИВ","687","Природни науки ,  АЕ","профилирана","Природни науки","(2 * БЕЛ + 2 * МАТ) + (1 * БЗО + 1 * ХООС)","","","80131","","Не","Не","дневна","5 години","1","26","0","0","Английски език","интензивно"
"163","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690154","Средно училище  "" СВ. ПАИСИЙ ХИЛЕНДАРСКИ "", ГР.ПЛОВДИВ","691","Програмиране на изкуствен интелект, АЕ","професионална","Програмиране на изкуствен интелект","(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * КМИТ)","481040","Програмист на изкуствен интелект","4810401","Трета степен","Не","Не","дневна","5 години","1","26","0","0","Английски език","интензивно"
"164","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690154","Средно училище  "" СВ. ПАИСИЙ ХИЛЕНДАРСКИ "", ГР.ПЛОВДИВ","839","Графичен дизайн, АЕ","професионална","Графичен дизайн","(1 * БЕЛ + 3 * МАТ) + (1 * ИИ + 1 * КМИТ)","213070","Графичен дизайнер","2130701","Трета степен","Не","Не","дневна","5 години","1","26","0","0","Английски език","интензивно"
"165","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690248","Средно училище  ""Симон Боливар"", ГР.ПЛОВДИВ","634","Техник - озеленител","професионална","Цветарство","(3 * БЕЛ + 1 * МАТ) + (1 * БЗО + 1 * ИИ)","622010","Техник – озеленител","6220101","Трета степен","Не","Не","дуална","5 години","1","26","0","0","Английски език","без инт. и без разширено"
"166","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690448","Средно училище  ""Христо Груев Данов"", ГР.ПЛОВДИВ","5105","Професионална паралелка с разширено изучаване на английски език Програмно осигуряване","професионална","Програмно осигуряване","(2 * БЕЛ + 2 * МАТ) + (1 * КМИТ + 1 * ЧЕз)","481010","Програмист","4810101","Втора степен","Не","Да","дневна","5 години","1","26","0","0","Английски език","разширено"
"167","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690157","Средно училище  ""Цар Симеон Велики"", ГР.ПЛОВДИВ","2482","Софтуерни и хардуерни науки","профилирана","Софтуерни и хардуерни науки","(2 * БЕЛ + 2 * МАТ) + (1 * ИИ + 1 * КМИТ)","","","80111","","Не","Не","дневна","5 години","1","26","0","0","Английски език","интензивно"
"168","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690157","Средно училище  ""Цар Симеон Велики"", ГР.ПЛОВДИВ","2493","Предприемачески","профилирана","Предприемачески","(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * КМИТ)","","","80171","","Не","Не","дневна","5 години","1","26","0","0","Английски език","интензивно"
"169","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690157","Средно училище  ""Цар Симеон Велики"", ГР.ПЛОВДИВ","4442","Асистент на лекар по дентална медицина с интензивно изучаване на английски език","професионална","Асистент на лекар по дентална медицина","(2 * БЕЛ + 2 * МАТ) + (1 * БЗО + 1 * КМИТ)","724010","Асистент на лекар по дентална медицина","7240101","Трета степен","Не","Не","дневна","5 години","1","26","0","0","Английски език","интензивно"
"170","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690645","Средно училище ""Черноризец Храбър"", ГР.ПЛОВДИВ","3571","Графичен дизайн","професионална","Графичен дизайн","(2 * БЕЛ + 2 * МАТ) + (1 * ИИ + 1 * КМИТ)","213070","Графичен дизайнер","2130701","Трета степен","Не","Не","дуална","5 години","1","26","0","0","Английски език","разширено"
"171","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690645","Средно училище ""Черноризец Храбър"", ГР.ПЛОВДИВ","3691","Икономика и мениджмънт","професионална","Икономика и мениджмънт","(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * КМИТ)","345120","Икономист","3451204","Трета степен","Не","Не","дневна","5 години","1","26","0","0","Испански език","разширено"
"172","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690451","Френска езикова гимназия  ""Антоан дьо Сент - Екзюпери"", ГР.ПЛОВДИВ","2031","Чужди езици ФЕ","профилирана","Чужди езици","(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * М)","","","80071","","Не","Не","дневна","5 години","4","104","0","0","Френски език","интензивно"
"173","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690451","Френска езикова гимназия  ""Антоан дьо Сент - Екзюпери"", ГР.ПЛОВДИВ","2039","Чужди езици АЕ","профилирана","Чужди езици","(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * М)","","","80071","","Не","Не","дневна","5 години","4","104","0","0","Английски език","интензивно"
"174","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690153","Хуманитарна гимназия ""Св. Св. Кирил и Методий"", ГР.ПЛОВДИВ","2816","Хуманитарни науки АЕ","профилирана","Хуманитарни науки","(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ИЦ)","","","80081","","Не","Не","дневна","5 години","3","0","24","54","Английски език","интензивно"
"175","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690153","Хуманитарна гимназия ""Св. Св. Кирил и Методий"", ГР.ПЛОВДИВ","2851","Хуманитарни науки НЕ","профилирана","Хуманитарни науки","(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ИЦ)","","","80081","","Не","Не","дневна","5 години","2","0","16","36","Немски език","интензивно"
"176","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690153","Хуманитарна гимназия ""Св. Св. Кирил и Методий"", ГР.ПЛОВДИВ","2853","Природни науки АЕ","профилирана","Природни науки","(3 * БЕЛ + 1 * МАТ) + (1 * БЗО + 1 * ХООС)","","","80131","","Не","Не","дневна","5 години","1","26","0","0","Английски език","интензивно"
"177","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690153","Хуманитарна гимназия ""Св. Св. Кирил и Методий"", ГР.ПЛОВДИВ","2856","Хуманитарни науки РЕ","профилирана","Хуманитарни науки","(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ИЦ)","","","80081","","Не","Не","дневна","5 години","1","26","0","0","Руски език","интензивно"
"178","ПЛОВДИВ","ПЪРВОМАЙ","ГР.ПЪРВОМАЙ","1602315","Професионална гимназия  по селско стопанство ""Васил Левски"", ГР.ПЪРВОМАЙ","5069","Икономическа информатика АЕ","професионална","Икономическа информатика","(3 * БЕЛ + 1 * МАТ) + (1 * М + 1 * КМИТ)","482010","Икономист - информатик","4820101","Трета степен","Не","Не","дневна","5 години","1","26","0","0","Английски език","разширено"
"179","ПЛОВДИВ","ПЪРВОМАЙ","ГР.ПЪРВОМАЙ","1602315","Професионална гимназия  по селско стопанство ""Васил Левски"", ГР.ПЪРВОМАЙ","5071","Механизация на селското стопанство РЕ","професионална","Механизация на селското стопанство","(3 * БЕЛ + 1 * МАТ) + (1 * М + 1 * ФА)","621070","Техник на селскостопанска техника","6210701","Трета степен","Не","Не","дневна","5 години","0.5","13","0","0","Руски език","без инт. и без разширено"
"180","ПЛОВДИВ","ПЪРВОМАЙ","ГР.ПЪРВОМАЙ","1602315","Професионална гимназия  по селско стопанство ""Васил Левски"", ГР.ПЪРВОМАЙ","5072","Агроекология РЕ","професионална","Агроекология","(3 * БЕЛ + 1 * МАТ) + (1 * БЗО + 1 * ХООС)","621140","Агроеколог","6211401","Трета степен","Не","Не","дневна","5 години","0.5","13","0","0","Руски език","без инт. и без разширено"
"181","ПЛОВДИВ","ПЪРВОМАЙ","ГР.ПЪРВОМАЙ","1602315","Професионална гимназия  по селско стопанство ""Васил Левски"", ГР.ПЪРВОМАЙ","5073","Производство на облекло от текстил РЕ","професионална","Производство на облекло от текстил","(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ИИ)","542050","Оператор в производството на облекло","5420501","Втора степен","Не","Да","дуална","5 години","0.5","13","0","0","Руски език","без инт. и без разширено"
"182","ПЛОВДИВ","ПЪРВОМАЙ","ГР.ПЪРВОМАЙ","1602315","Професионална гимназия  по селско стопанство ""Васил Левски"", ГР.ПЪРВОМАЙ","5075","Машини и съоръжения за ХХВП РЕ","професионална","Машини и съоръжения за химическата и хранително-вкусовата промишленост","(3 * БЕЛ + 1 * МАТ) + (1 * ФА + 1 * ХООС)","521040","Машинен монтьор","5210415","Втора степен","Не","Да","дуална","5 години","0.5","13","0","0","Руски език","без инт. и без разширено"
"183","ПЛОВДИВ","ПЪРВОМАЙ","ГР.ПЪРВОМАЙ","1602314","Средно училище  ""Проф. д-р Асен Златаров"", ГР.ПЪРВОМАЙ","5066","Електронна търговия","професионална","Електронна търговия","(2 * БЕЛ + 2 * МАТ) + (1 * КМИТ + 1 * ЧЕз)","482040","Организатор Интернет приложения","4820401","Трета степен","Не","Не","дневна","5 години","1","26","0","0","Английски език","интензивно"
"184","ПЛОВДИВ","ПЪРВОМАЙ","ГР.ПЪРВОМАЙ","1602314","Средно училище  ""Проф. д-р Асен Златаров"", ГР.ПЪРВОМАЙ","5068","Туристическа анимация","професионална","Туристическа анимация","(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * ЧЕз)","812040","Аниматор в туризма","8120402","Трета степен","Не","Не","дневна","5 години","1","26","0","0","Английски език","интензивно"
"185","ПЛОВДИВ","ПЪРВОМАЙ","ГР.ПЪРВОМАЙ","1602314","Средно училище  ""Проф. д-р Асен Златаров"", ГР.ПЪРВОМАЙ","5070","Икономическо информационно осигуряване","професионална","Икономическо информационно осигуряване","(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * КМИТ)","482020","Оператор информационно осигуряване","4820201","Втора степен","Не","Не","дневна","5 години","1","26","0","0","Английски език","без инт. и без разширено"
"186","ПЛОВДИВ","РАКОВСКИ","ГР.РАКОВСКИ","1602511","Професионална гимназия  ""Петър Парчевич"", ГР.РАКОВСКИ","1820","Икономическа информатика АЕ","професионална","Икономическа информатика","(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * КМИТ)","482010","Икономист - информатик","4820101","Трета степен","Не","Не","дневна","5 години","0.5","13","0","0","Английски език","разширено"
"187","ПЛОВДИВ","РАКОВСКИ","ГР.РАКОВСКИ","1602511","Професионална гимназия  ""Петър Парчевич"", ГР.РАКОВСКИ","2217","Електрообзавеждане на транспортна техника","професионална","Електрообзавеждане на транспортна техника","(2 * БЕЛ + 2 * МАТ) + (1 * ФА + 1 * КМИТ)","522020","Електромонтьор","5220207","Втора степен","Не","Да","дневна","5 години","1","26","0","0","Английски език","без инт. и без разширено"
"188","ПЛОВДИВ","РАКОВСКИ","ГР.РАКОВСКИ","1602511","Професионална гимназия  ""Петър Парчевич"", ГР.РАКОВСКИ","2219","Производство на хляб, хлебни и сладкарски изделия","професионална","Производство на хляб, хлебни и сладкарски изделия","(2 * БЕЛ + 2 * МАТ) + (1 * БЗО + 1 * ХООС)","541010","Техник - технолог в хранително - вкусовата промишленост","5410102","Трета степен","Не","Не","дневна","5 години","1","26","0","0","Английски език","без инт. и без разширено"
"189","ПЛОВДИВ","РАКОВСКИ","ГР.РАКОВСКИ","1602511","Професионална гимназия  ""Петър Парчевич"", ГР.РАКОВСКИ","4754","Спедиция,транспортна и складова логистика","професионална","Спедиция, транспортна и складова логистика","(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * КМИТ)","840110","Спедитор - логистик","8401101","Трета степен","Не","Да","дневна","5 години","0.5","13","0","0","Английски език","разширено"
"190","ПЛОВДИВ","РАКОВСКИ","С.БЕЛОЗЕМ","1602510","Професионална гимназия по селско стопанство, С.БЕЛОЗЕМ","4347","Механизация на селското стопанство","професионална","Механизация на селското стопанство","(2 * БЕЛ + 2 * МАТ) + (1 * ХООС + 1 * ИИ)","621070","Техник на селскостопанска техника","6210701","Трета степен","Не","Не","дневна","5 години","0.5","13","0","0","Английски език","без инт. и без разширено"
"191","ПЛОВДИВ","РАКОВСКИ","С.БЕЛОЗЕМ","1602510","Професионална гимназия по селско стопанство, С.БЕЛОЗЕМ","4920","Икономическа информатика","професионална","Икономическа информатика","(2 * БЕЛ + 2 * МАТ) + (1 * ХООС + 1 * ИИ)","482010","Икономист - информатик","4820101","Трета степен","Не","Не","дневна","5 години","0.5","13","0","0","Английски език","без инт. и без разширено"
"192","ПЛОВДИВ","РАКОВСКИ","С.БЕЛОЗЕМ","1602510","Професионална гимназия по селско стопанство, С.БЕЛОЗЕМ","4923","Технология в биопроизводствата","професионална","Технология в биопроизводствата","(2 * БЕЛ + 2 * МАТ) + (1 * ХООС + 1 * ИИ)","524020","Биотехнолог","5240201","Трета степен","Не","Да","дневна","5 години","1","26","0","0","Английски език","без инт. и без разширено"
"193","ПЛОВДИВ","САДОВО","ГР.САДОВО","1602810","Професионална селскостопанска гимназия ""Димитър Наумов"", ГР.САДОВО","2037","Механизация на селското стопанство, Техник на ССТ","професионална","Механизация на селското стопанство","(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)","621070","Техник на селскостопанска техника","6210701","Трета степен","Не","Не","дневна","5 години","1","26","0","0","Английски език","без инт. и без разширено"
"194","ПЛОВДИВ","САДОВО","ГР.САДОВО","1602810","Професионална селскостопанска гимназия ""Димитър Наумов"", ГР.САДОВО","2047","Агроеколог","професионална","Агроекология","(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * БЗО)","621140","Агроеколог","6211401","Трета степен","Не","Не","дуална","5 години","1","26","0","0","Английски език","без инт. и без разширено"
"195","ПЛОВДИВ","САДОВО","ГР.САДОВО","1602810","Професионална селскостопанска гимназия ""Димитър Наумов"", ГР.САДОВО","3889","Техник - растениевъд","професионална","Трайни насаждения","(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * БЗО)","621010","Техник-растениевъд","6210103","Трета степен","Не","Да","дневна","5 години","1","26","0","0","Английски език","без инт. и без разширено"
"196","ПЛОВДИВ","СОПОТ","ГР.СОПОТ","1601363","Професионална гимназия  ""Генерал Владимир Заимов"", ГР.СОПОТ","1119","Системнo програмиране с разширено изучаване на АЕ","професионална","Системно програмиране","(2 * БЕЛ + 2 * МАТ) + (1 * М + 1 * КМИТ)","481020","Системен програмист","4810201","Трета степен","Не","Не","дневна","5 години","1","26","0","0","Английски език","разширено"
"197","ПЛОВДИВ","СОПОТ","ГР.СОПОТ","1601363","Професионална гимназия  ""Генерал Владимир Заимов"", ГР.СОПОТ","1132","Мехатроника с разширено изучаване на АЕ","професионална","Мехатроника","(2 * БЕЛ + 2 * МАТ) + (1 * КМИТ + 1 * ТП)","521140","Мехатроника","5211401","Трета степен","Не","Не","дуална","5 години","1","26","0","0","Английски език","разширено"
"198","ПЛОВДИВ","СОПОТ","ГР.СОПОТ","1601363","Професионална гимназия  ""Генерал Владимир Заимов"", ГР.СОПОТ","1139","Организация на туризма и свободното време с разширено изучаване на АЕ","професионална","Организация на туризма и свободното време","(2 * БЕЛ + 2 * МАТ) + (1 * КМИТ + 1 * ЧЕз)","812010","Организатор на туристическа агентска дейност","8120101","Трета степен","Не","Не","дневна","5 години","1","26","0","0","Английски език","разширено"
"199","ПЛОВДИВ","СОПОТ","ГР.СОПОТ","1601363","Професионална гимназия  ""Генерал Владимир Заимов"", ГР.СОПОТ","1144","Електронна търговия с разширено изучаване на АЕ","професионална","Електронна търговия","(2 * БЕЛ + 2 * МАТ) + (1 * КМИТ + 1 * ЧЕз)","482040","Организатор Интернет приложения","4820401","Трета степен","Не","Не","дневна","5 години","0.5","13","0","0","Английски език","разширено"
"200","ПЛОВДИВ","СОПОТ","ГР.СОПОТ","1601363","Професионална гимназия  ""Генерал Владимир Заимов"", ГР.СОПОТ","3606","Техник на компютърни системи с разширено изучаване на АЕ","професионална","Компютърна техника и технологии","(2 * БЕЛ + 2 * МАТ) + (1 * КМИТ + 1 * ТП)","523050","Техник на компютърни системи","5230501","Трета степен","Не","Не","дневна","5 години","0.5","13","0","0","Английски език","разширено"
"201","ПЛОВДИВ","СОПОТ","ГР.СОПОТ","1601363","Професионална гимназия  ""Генерал Владимир Заимов"", ГР.СОПОТ","3607","Дизайнер с разширено изучаване на АЕ","професионална","Рекламна графика","(2 * БЕЛ + 2 * МАТ) + (1 * ИИ + 1 * КМИТ)","214010","Дизайнер","2140112","Трета степен","Не","Не","дневна","5 години","1","26","0","0","Английски език","разширено"
"202","ПЛОВДИВ","СОПОТ","ГР.СОПОТ","1601363","Професионална гимназия  ""Генерал Владимир Заимов"", ГР.СОПОТ","3849","Производство на хляб, хлебни и сладкарски изделия без интензивно и без разширено изучаване на АЕ","професионална","Производство на хляб, хлебни и сладкарски изделия","(2 * БЕЛ + 2 * МАТ) + (1 * ИИ + 1 * ТП)","541010","Техник - технолог в хранително - вкусовата промишленост","5410102","Трета степен","Не","Не","дневна","5 години","0.5","13","0","0","Английски език","без инт. и без разширено"
"203","ПЛОВДИВ","СОПОТ","ГР.СОПОТ","1601363","Професионална гимназия  ""Генерал Владимир Заимов"", ГР.СОПОТ","3852","Кетъринг без интензивно и без разширено  изучаване на АЕ","професионална","Кетъринг","(2 * БЕЛ + 2 * МАТ) + (1 * ИИ + 1 * ТП)","811060","Ресторантьор","8110603","Трета степен","Не","Не","дневна","5 години","0.5","13","0","0","Английски език","без инт. и без разширено"
"204","ПЛОВДИВ","СОПОТ","ГР.СОПОТ","1601303","Средно училище  ""Иван Вазов"", ГР.СОПОТ","3842","Софтуерни и хардуерни науки","профилирана","Софтуерни и хардуерни науки","(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * КМИТ)","","","80111","","Не","Не","дневна","5 години","1","26","0","0","Английски език","без инт. и без разширено"
"205","ПЛОВДИВ","СТАМБОЛИЙСКИ","ГР.СТАМБОЛИЙСКИ","1602904","Обединено училище ""Христо Ботев"" гр. Стамболийски, ГР.СТАМБОЛИЙСКИ","3694","Работник в производството на облекло","професионална","Производство на облекло","(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * ТП)","542090","Работник в производство на облекло","5420901","Първа степен","Не","Не","дневна","3 години","0.5","13","0","0","Английски език","без инт. и без разширено"
"206","ПЛОВДИВ","СТАМБОЛИЙСКИ","ГР.СТАМБОЛИЙСКИ","1602904","Обединено училище ""Христо Ботев"" гр. Стамболийски, ГР.СТАМБОЛИЙСКИ","3695","Помощник в строителството","професионална","Основни и довършителни работи","(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * ТП)","582080","Помощник в строителството","5820801","Първа степен","Не","Да","дневна","3 години","0.5","13","0","0","Английски език","без инт. и без разширено"
"207","ПЛОВДИВ","СТАМБОЛИЙСКИ","ГР.СТАМБОЛИЙСКИ","1602907","Средно училище Отец Паисий, ГР.СТАМБОЛИЙСКИ","1833","Предприемачески","профилирана","Предприемачески","(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * КМИТ)","","","80171","","Не","Не","дневна","5 години","1","26","0","0","Английски език","без инт. и без разширено"
"208","ПЛОВДИВ","СЪЕДИНЕНИЕ","ГР.СЪЕДИНЕНИЕ","1603301","Средно училище ""Христо Ботев"", ГР.СЪЕДИНЕНИЕ","4915","Електронна търговия","професионална","Електронна търговия","(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * КМИТ)","482040","Организатор Интернет приложения","4820401","Трета степен","Не","Не","дневна","5 години","1","26","0","0","Френски език","без инт. и без разширено"
"209","ПЛОВДИВ","ХИСАРЯ","ГР.ХИСАРЯ","1603708","Средно училище ""Христо Смирненски"", ГР.ХИСАРЯ","1859","Готвач","професионална","Производство на кулинарни изделия и напитки","(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)","811070","Готвач","8110701","Втора степен","Не","Да","дневна","5 години","0.5","13","0","0","Английски език","без инт. и без разширено"
"210","ПЛОВДИВ","ХИСАРЯ","ГР.ХИСАРЯ","1603708","Средно училище ""Христо Смирненски"", ГР.ХИСАРЯ","3972","Хотелиер","професионална","Организация на хотелиерството","(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * ЧЕз)","811010","Хотелиер","8110101","Трета степен","Не","Не","дневна","5 години","0.5","13","0","0","Английски език","разширено"
"211","ПЛОВДИВ","ХИСАРЯ","ГР.ХИСАРЯ","1603708","Средно училище ""Христо Смирненски"", ГР.ХИСАРЯ","3973","Спедитор-логистик","професионална","Спедиция, транспортна и складова логистика","(2 * БЕЛ + 2 * МАТ) + (1 * КМИТ + 1 * ЧЕз)","840110","Спедитор - логистик","8401101","Трета степен","Не","Да","дневна","5 години","1","26","0","0","Немски език","разширено"
"212","ПЛОВДИВ","ХИСАРЯ","С.КРАСНОВО","1603706","Обединено училище "" Христо Ботев "", С.КРАСНОВО","413","Работник в производството на кулинарни изделия в заведения","професионална","Работник в производството на кулинарни изделия в заведенията за хранене и развлечения","(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)","811090","Работник в заведенията за хранене и развлечения","8110901","Първа степен","Не","Не","дневна","3 години","1","26","0","0","Английски език","без инт. и без разширено"
